#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 136000      2.68e+01    1.68e+01      2.81e-02    3.93e-02      2.68e-01    1.68e-01    9.9e-06
 137000      1.22e+01    2.05e+01      3.02e-03    2.37e-02      1.22e-01    2.05e-01    9.9e-06
 138000      2.26e+01    2.74e+01      2.58e-05    1.74e-02      2.26e-01    2.74e-01    9.9e-06
 139000      1.72e+01    1.60e+01      6.59e-03    8.66e-03      1.72e-01    1.60e-01    9.9e-06
 140000      2.74e+01    3.33e+01      1.24e-02    1.08e-03      2.74e-01    3.33e-01    8.3e-06
 141000      1.46e+01    1.41e+01      1.65e-02    1.12e-02      1.46e-01    1.41e-01    8.3e-06
 142000      1.46e+01    5.44e+00      4.61e-03    3.93e-03      1.46e-01    5.44e-02    8.3e-06
 143000      2.43e+01    2.33e+01      4.38e-03    1.51e-02      2.43e-01    2.33e-01    8.3e-06
 144000      1.52e+01    4.06e+01      1.28e-03    2.81e-02      1.52e-01    4.06e-01    8.3e-06
 145000      7.35e+00    9.54e+00      1.43e-02    3.10e-03      7.35e-02    9.54e-02    7.0e-06
 146000      4.49e+01    1.30e+01      1.74e-02    1.84e-02      4.49e-01    1.30e-01    7.0e-06
 147000      6.07e+00    1.25e+01      5.82e-02    5.11e-02      6.07e-02    1.25e-01    7.0e-06
 148000      1.01e+01    3.23e+01      5.99e-02    1.53e-02      1.01e-01    3.23e-01    7.0e-06
 149000      1.86e+01    1.66e+01      1.87e-02    2.48e-03      1.86e-01    1.66e-01    7.0e-06
 150000      1.61e+01    1.33e+01      1.38e-02    4.48e-03      1.61e-01    1.33e-01    5.9e-06
 151000      1.21e+01    1.08e+01      1.20e-02    1.92e-02      1.21e-01    1.08e-01    5.9e-06
 152000      2.94e+01    2.57e+01      2.84e-05    2.33e-02      2.94e-01    2.57e-01    5.9e-06
 153000      1.85e+01    7.05e+00      3.11e-02    2.99e-02      1.85e-01    7.05e-02    5.9e-06
 154000      3.30e+01    1.21e+01      3.78e-02    8.71e-03      3.30e-01    1.21e-01    5.9e-06
 155000      1.90e+01    1.78e+01      3.49e-03    8.31e-04      1.90e-01    1.78e-01    5.0e-06
 156000      1.61e+01    1.83e+01      8.08e-03    6.00e-03      1.61e-01    1.83e-01    5.0e-06
 157000      1.19e+01    3.37e+01      1.59e-02    1.38e-02      1.19e-01    3.37e-01    5.0e-06
 158000      1.34e+01    3.44e+01      4.32e-02    8.08e-03      1.34e-01    3.44e-01    5.0e-06
 159000      2.88e+01    2.11e+01      1.80e-03    7.07e-03      2.88e-01    2.11e-01    5.0e-06
 160000      2.69e+01    1.10e+01      9.21e-03    5.38e-03      2.69e-01    1.10e-01    4.2e-06
 161000      1.42e+01    1.56e+01      1.33e-02    4.20e-02      1.42e-01    1.56e-01    4.2e-06
 162000      9.72e+00    1.79e+01      3.84e-03    1.73e-02      9.72e-02    1.79e-01    4.2e-06
 163000      1.56e+01    1.25e+01      2.11e-02    1.37e-02      1.56e-01    1.25e-01    4.2e-06
 164000      1.55e+01    1.44e+01      9.50e-03    5.50e-03      1.55e-01    1.44e-01    4.2e-06
 165000      1.05e+01    1.55e+01      1.43e-02    1.39e-02      1.05e-01    1.55e-01    3.5e-06
 166000      2.46e+01    2.70e+01      7.13e-03    1.62e-02      2.46e-01    2.70e-01    3.5e-06
 167000      2.61e+01    2.08e+01      4.83e-02    3.14e-02      2.61e-01    2.08e-01    3.5e-06
 168000      1.53e+01    1.37e+01      2.05e-02    8.59e-03      1.53e-01    1.37e-01    3.5e-06
 169000      9.63e+00    1.75e+01      1.35e-02    5.46e-03      9.63e-02    1.75e-01    3.5e-06
 170000      1.80e+01    1.32e+01      2.98e-03    1.70e-02      1.80e-01    1.32e-01    3.0e-06
 171000      2.04e+01    9.66e+00      3.89e-02    4.76e-02      2.04e-01    9.66e-02    3.0e-06
 172000      3.79e+01    1.21e+01      2.69e-02    1.07e-02      3.79e-01    1.21e-01    3.0e-06
 173000      3.23e+01    1.19e+01      1.21e-02    4.12e-02      3.23e-01    1.19e-01    3.0e-06
 174000      7.69e+00    2.86e+01      4.33e-02    4.99e-03      7.69e-02    2.86e-01    3.0e-06
 175000      2.07e+01    7.02e+00      2.56e-02    3.38e-02      2.07e-01    7.02e-02    2.5e-06
 176000      5.50e+00    5.91e+00      1.17e-03    1.73e-03      5.50e-02    5.91e-02    2.5e-06
 177000      1.44e+01    2.04e+01      1.36e-02    8.67e-03      1.44e-01    2.04e-01    2.5e-06
 178000      9.11e+00    2.28e+01      3.49e-02    1.70e-02      9.11e-02    2.28e-01    2.5e-06
 179000      1.98e+01    2.85e+01      7.61e-03    1.20e-02      1.98e-01    2.85e-01    2.5e-06
