#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 112000      2.49e+01    6.75e+00      1.78e-02    6.04e-03      2.49e-01    6.75e-02    2.3e-05
 113000      1.16e+01    2.55e+01      3.87e-02    3.55e-02      1.16e-01    2.55e-01    2.3e-05
 114000      1.91e+01    1.63e+01      4.69e-04    4.04e-02      1.91e-01    1.63e-01    2.3e-05
 115000      3.19e+01    2.84e+01      2.73e-02    1.52e+00      3.19e-01    2.83e-01    2.0e-05
 116000      2.16e+01    1.11e+01      1.91e-02    3.31e-02      2.16e-01    1.11e-01    2.0e-05
 117000      1.20e+01    7.86e+00      2.55e-03    2.36e-02      1.20e-01    7.86e-02    2.0e-05
 118000      9.15e+00    2.50e+01      4.78e-02    2.02e-02      9.15e-02    2.50e-01    2.0e-05
 119000      2.84e+01    6.03e+00      1.21e-01    6.26e-02      2.84e-01    6.03e-02    2.0e-05
 120000      1.41e+01    1.27e+01      2.82e-03    5.09e-03      1.41e-01    1.27e-01    1.7e-05
 121000      1.66e+01    1.12e+01      8.96e-03    7.90e-03      1.66e-01    1.12e-01    1.7e-05
 122000      2.27e+01    9.86e+00      2.48e-02    3.26e-02      2.27e-01    9.86e-02    1.7e-05
 123000      2.36e+01    3.00e+01      1.04e-02    1.52e-01      2.36e-01    3.00e-01    1.7e-05
 124000      9.15e+00    1.03e+01      3.46e-02    1.70e-02      9.15e-02    1.03e-01    1.7e-05
 125000      1.55e+01    1.80e+01      3.50e-02    1.33e-02      1.55e-01    1.80e-01    1.4e-05
 126000      1.58e+01    1.44e+01      3.05e-02    3.36e-02      1.58e-01    1.44e-01    1.4e-05
 127000      4.89e+01    2.54e+01      1.97e-02    1.04e-02      4.89e-01    2.54e-01    1.4e-05
 128000      1.93e+01    2.70e+01      1.20e-02    1.12e-02      1.93e-01    2.70e-01    1.4e-05
 129000      1.13e+01    1.86e+01      3.51e-02    4.45e-02      1.13e-01    1.86e-01    1.4e-05
 130000      2.10e+01    1.69e+01      4.14e-02    1.15e-02      2.10e-01    1.69e-01    1.2e-05
 131000      2.04e+01    1.66e+01      1.79e-03    3.72e-02      2.04e-01    1.66e-01    1.2e-05
 132000      8.42e+00    1.30e+01      6.69e-02    3.11e-02      8.42e-02    1.30e-01    1.2e-05
 133000      1.70e+01    1.83e+01      1.55e-02    4.26e-02      1.70e-01    1.83e-01    1.2e-05
 134000      1.87e+01    4.24e+00      1.59e-02    4.93e-02      1.87e-01    4.24e-02    1.2e-05
 135000      2.29e+01    1.36e+01      5.83e-02    5.63e-02      2.29e-01    1.36e-01    9.9e-06
 136000      1.28e+01    3.98e+01      2.49e-02    3.86e-01      1.28e-01    3.98e-01    9.9e-06
 137000      2.55e+01    2.42e+01      8.40e-03    7.09e-02      2.55e-01    2.42e-01    9.9e-06
 138000      1.42e+01    1.15e+01      1.29e-02    1.37e-02      1.42e-01    1.15e-01    9.9e-06
 139000      5.26e+00    9.45e+00      6.14e-02    3.33e-02      5.26e-02    9.45e-02    9.9e-06
 140000      1.13e+01    3.61e+01      2.69e-02    4.54e-02      1.13e-01    3.61e-01    8.3e-06
 141000      2.16e+01    3.34e+01      2.66e-02    1.36e-02      2.16e-01    3.34e-01    8.3e-06
 142000      2.03e+01    1.34e+01      9.39e-04    2.65e-02      2.03e-01    1.34e-01    8.3e-06
 143000      1.04e+01    6.33e+00      6.04e-03    3.07e-02      1.04e-01    6.33e-02    8.3e-06
 144000      1.10e+01    1.71e+01      3.04e-04    3.80e-03      1.10e-01    1.71e-01    8.3e-06
 145000      1.13e+01    1.18e+01      3.95e-02    2.95e-02      1.13e-01    1.18e-01    7.0e-06
 146000      1.98e+01    2.88e+01      6.14e-03    8.73e-02      1.98e-01    2.88e-01    7.0e-06
 147000      2.25e+01    2.83e+01      1.57e-02    7.55e-02      2.25e-01    2.83e-01    7.0e-06
 148000      3.35e+01    1.09e+01      7.61e-03    9.13e-03      3.35e-01    1.09e-01    7.0e-06
