#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 175000      1.78e+01    9.04e+00      1.46e-02    2.76e-02      1.78e-01    9.04e-02    2.5e-06
 176000      3.64e+01    1.02e+01      4.18e-02    8.84e-03      3.64e-01    1.02e-01    2.5e-06
 177000      5.77e+00    3.18e+01      1.24e-02    1.02e-02      5.77e-02    3.18e-01    2.5e-06
 178000      1.73e+01    1.32e+01      7.10e-03    2.45e-02      1.73e-01    1.32e-01    2.5e-06
 179000      1.95e+01    1.69e+01      2.60e-02    1.29e-02      1.95e-01    1.69e-01    2.5e-06
 180000      6.05e+00    1.69e+01      2.09e-02    3.48e-02      6.05e-02    1.69e-01    2.1e-06
 181000      1.73e+01    8.19e+00      1.18e-02    1.77e-02      1.73e-01    8.19e-02    2.1e-06
 182000      1.14e+01    1.73e+01      1.64e-02    1.04e-02      1.14e-01    1.73e-01    2.1e-06
 183000      2.01e+01    1.51e+01      1.78e-02    3.22e-02      2.01e-01    1.51e-01    2.1e-06
 184000      2.90e+01    1.65e+01      2.16e-02    8.17e-03      2.90e-01    1.65e-01    2.1e-06
 185000      1.04e+01    1.64e+01      2.31e-02    1.79e-02      1.04e-01    1.64e-01    1.8e-06
 186000      1.63e+01    2.10e+01      1.87e-02    1.93e-02      1.63e-01    2.10e-01    1.8e-06
 187000      1.93e+01    3.21e+01      2.07e-02    2.83e-02      1.93e-01    3.21e-01    1.8e-06
 188000      1.62e+01    2.31e+01      2.78e-02    3.09e-02      1.62e-01    2.31e-01    1.8e-06
 189000      1.07e+01    3.31e+01      1.46e-02    1.08e-02      1.07e-01    3.31e-01    1.8e-06
 190000      9.98e+00    1.32e+01      2.59e-02    8.02e-03      9.98e-02    1.32e-01    1.5e-06
 191000      1.45e+01    2.01e+01      1.78e-02    1.81e-02      1.45e-01    2.01e-01    1.5e-06
 192000      3.38e+01    2.38e+01      3.31e-02    2.76e-02      3.38e-01    2.38e-01    1.5e-06
 193000      1.24e+01    8.86e+00      5.35e-03    2.02e-02      1.24e-01    8.86e-02    1.5e-06
 194000      2.85e+01    2.41e+01      2.12e-02    1.77e-02      2.85e-01    2.41e-01    1.5e-06
 195000      1.01e+01    1.09e+01      2.08e-02    2.54e-02      1.01e-01    1.09e-01    1.3e-06
 196000      1.69e+01    1.80e+01      2.56e-02    2.07e-02      1.69e-01    1.80e-01    1.3e-06
 197000      2.46e+01    2.05e+01      5.57e-03    4.48e-02      2.46e-01    2.05e-01    1.3e-06
 198000      2.98e+01    2.52e+01      2.17e-02    2.08e-02      2.98e-01    2.52e-01    1.3e-06
 199000      3.22e+01    1.63e+01      2.22e-05    2.62e-02      3.22e-01    1.63e-01    1.3e-06
 200000      2.53e+01    2.60e+01      2.35e-02    4.98e-03      2.53e-01    2.60e-01    1.1e-06
 201000      2.58e+01    1.01e+01      7.69e-03    1.14e-02      2.58e-01    1.01e-01    1.1e-06
 202000      2.63e+01    1.96e+01      5.26e-02    1.89e-02      2.63e-01    1.96e-01    1.1e-06
 203000      2.48e+01    2.10e+01      2.38e-02    1.40e-02      2.48e-01    2.10e-01    1.1e-06
 204000      8.62e+00    7.56e+00      6.99e-03    2.78e-02      8.62e-02    7.56e-02    1.1e-06
 205000      8.07e+00    3.14e+00      1.12e-02    1.87e-02      8.07e-02    3.14e-02    9.0e-07
 206000      9.35e+00    1.30e+01      1.50e-02    1.73e-02      9.35e-02    1.30e-01    9.0e-07
 207000      2.68e+01    6.01e+00      9.64e-03    1.85e-02      2.68e-01    6.01e-02    9.0e-07
 208000      2.19e+01    1.44e+01      1.39e-02    1.39e-02      2.19e-01    1.44e-01    9.0e-07
 209000      3.88e+00    2.73e+01      1.46e-02    4.29e-02      3.88e-02    2.73e-01    9.0e-07
 210000      3.21e+01    4.94e+01      3.15e-03    5.48e-03      3.21e-01    4.94e-01    7.6e-07
 211000      1.54e+01    1.43e+01      2.42e-02    1.10e-02      1.54e-01    1.43e-01    7.6e-07
